Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.2803,rec_d1_12_32_38.500000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.9858,rec_d1_12_32_43.750000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.2295,rec_d1_12_32_49.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.9149,rec_d1_12_33_00.250000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.9798,rec_d1_12_33_00.250000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.8267,rec_d1_12_33_18.500000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.7073,rec_d1_12_33_18.500000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.9741,rec_d1_12_33_37.500000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.7632,rec_d1_12_33_48.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.3271,rec_d1_12_33_53.250000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.0740,rec_d1_12_34_05.250000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.1531,rec_d1_12_34_05.250000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.9483,rec_d1_12_34_14.250000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.4284,rec_d1_12_34_27.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.5873,rec_d1_12_34_33.750000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.9755,rec_d1_12_34_49.500000.wav
0.0,3.0,Branta canadensis,Canada Goose,0.5834,rec_d1_12_35_20.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0947,rec_d1_12_35_20.750000.wav
0.0,3.0,Branta canadensis,Canada Goose,0.4151,rec_d1_12_35_38.250000.wav
3.0,5.25,Branta canadensis,Canada Goose,0.0963,rec_d1_12_35_38.250000.wav
0.0,3.0,Branta canadensis,Canada Goose,0.7598,rec_d1_12_35_47.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8756,rec_d1_12_36_13.500000.wav
0.0,3.0,Branta canadensis,Canada Goose,0.1532,rec_d1_12_36_13.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0541,rec_d1_12_36_50.250000.wav
3.0,5.25,Phylloscopus collybita,Common Chiffchaff,0.0998,rec_d1_12_37_59.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.1280,rec_d1_12_38_06.wav
3.0,5.25,Phylloscopus collybita,Common Chiffchaff,0.9302,rec_d1_12_38_06.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4308,rec_d1_12_38_11.250000.wav
0.0,3.0,Pica pica,Eurasian Magpie,0.1329,rec_d1_12_38_11.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.1289,rec_d1_12_38_11.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.0500,rec_d1_12_38_16.750000.wav
0.0,3.0,Passer domesticus,House Sparrow,0.0978,rec_d1_12_38_25.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0683,rec_d1_12_38_31.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.6500,rec_d1_12_38_31.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.6462,rec_d1_12_38_37.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8638,rec_d1_12_38_37.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9728,rec_d1_12_38_43.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8927,rec_d1_12_38_43.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.5837,rec_d1_12_38_48.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9863,rec_d1_12_38_48.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2811,rec_d1_12_38_54.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.1795,rec_d1_12_38_54.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8985,rec_d1_12_38_59.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8616,rec_d1_12_39_13.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2042,rec_d1_12_39_13.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9724,rec_d1_12_39_19.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.3975,rec_d1_12_39_19.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2898,rec_d1_12_39_25.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.5469,rec_d1_12_39_25.250000.wav
0.0,3.0,Pica pica,Eurasian Magpie,0.0596,rec_d1_12_39_38.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8106,rec_d1_12_39_38.500000.wav
0.0,3.0,Bostrychia hagedash,Hadada Ibis,0.0620,rec_d1_12_39_45.250000.wav
3.0,5.25,Bostrychia hagedash,Hadada Ibis,0.2978,rec_d1_12_39_51.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8402,rec_d1_12_39_59.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8134,rec_d1_12_39_59.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9737,rec_d1_12_40_07.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4589,rec_d1_12_40_13.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.6973,rec_d1_12_40_13.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9837,rec_d1_12_40_18.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9720,rec_d1_12_40_18.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4259,rec_d1_12_40_23.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.4228,rec_d1_12_40_23.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8308,rec_d1_12_40_32.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.0925,rec_d1_12_40_32.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4922,rec_d1_12_40_42.250000.wav
3.0,5.25,Phylloscopus collybita,Common Chiffchaff,0.0961,rec_d1_12_40_42.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2486,rec_d1_12_41_00.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.7122,rec_d1_12_41_28.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8829,rec_d1_12_41_28.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.6604,rec_d1_12_41_33.750000.wav
0.0,3.0,Pica pica,Eurasian Magpie,0.1135,rec_d1_12_41_33.750000.wav
3.0,5.25,Pica pica,Eurasian Magpie,0.2894,rec_d1_12_41_33.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.1571,rec_d1_12_41_33.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0868,rec_d1_12_41_39.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.5776,rec_d1_12_41_45.750000.wav
0.0,3.0,Pica pica,Eurasian Magpie,0.3759,rec_d1_12_41_45.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2345,rec_d1_12_41_45.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9886,rec_d1_12_41_54.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2888,rec_d1_12_41_54.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4703,rec_d1_12_42_21.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2941,rec_d1_12_42_27.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.3616,rec_d1_12_42_27.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4060,rec_d1_12_42_32.750000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2200,rec_d1_12_42_32.750000.wav
3.0,5.25,Branta canadensis,Canada Goose,0.0994,rec_d1_12_42_32.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8885,rec_d1_12_42_41.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9174,rec_d1_12_42_41.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.7735,rec_d1_12_42_47.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2296,rec_d1_12_42_47.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8364,rec_d1_12_42_56.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0780,rec_d1_12_43_10.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9926,rec_d1_12_43_10.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.7901,rec_d1_12_43_15.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9765,rec_d1_12_43_15.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9829,rec_d1_12_43_21.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.3869,rec_d1_12_43_21.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9184,rec_d1_12_43_29.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.0624,rec_d1_12_43_29.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.5635,rec_d1_12_43_34.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8039,rec_d1_12_43_45.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9792,rec_d1_12_43_45.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2141,rec_d1_12_43_50.500000.wav
3.0,5.25,Branta canadensis,Canada Goose,0.0676,rec_d1_12_43_50.500000.wav
0.0,3.0,Branta canadensis,Canada Goose,0.1350,rec_d1_12_44_18.wav
3.0,5.25,Branta canadensis,Canada Goose,0.1202,rec_d1_12_44_31.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.5322,rec_d1_12_44_46.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9085,rec_d1_12_44_46.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.6886,rec_d1_12_44_53.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2021,rec_d1_12_44_53.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2171,rec_d1_12_44_58.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.0644,rec_d1_12_45_05.500000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.4392,rec_d1_12_45_12.750000.wav
0.0,3.0,Pica pica,Eurasian Magpie,0.0979,rec_d1_12_45_12.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8274,rec_d1_12_45_20.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.3657,rec_d1_12_45_20.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.9829,rec_d1_12_45_25.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9906,rec_d1_12_45_25.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.6978,rec_d1_12_45_37.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2411,rec_d1_12_45_37.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.3022,rec_d1_12_45_42.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.7610,rec_d1_12_45_48.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8697,rec_d1_12_45_48.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.5002,rec_d1_12_46_06.250000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.5628,rec_d1_12_46_21.500000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.0613,rec_d1_12_46_45.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.2501,rec_d1_12_46_52.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.8037,rec_d1_12_46_52.250000.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.9748,rec_d1_12_47_06.750000.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.8165,rec_d1_12_47_12.wav
3.0,5.25,Phoenicopterus roseus,Greater Flamingo,0.2411,rec_d1_12_47_12.wav
0.0,3.0,Phoenicopterus roseus,Greater Flamingo,0.3765,rec_d1_12_47_18.750000.wav
