File,Status,Segment,Method,Species,Confidence,Start,End
rec_d1_00_00_45.750000.wav,success,0,Ensemble Voting,Common Wood Pigeon,0.4099,0.00,3.00
rec_d1_00_00_45.750000.wav,success,0,Ensemble Voting,Gallinula chloropus_Eurasian Moorhen,0.2176,0.00,3.00
rec_d1_00_00_45.750000.wav,success,0,Ensemble Voting,Turdus merula_Common Blackbird,0.2016,0.00,3.00
rec_d1_00_01_49.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_01_52.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_01_56.250000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_01_59.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_02_02.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_02_05.250000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_03_01.750000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.7769,0.00,3.00
rec_d1_00_03_01.750000.wav,success,0,Ensemble Voting,Balearica regulorum_Gray Crowned-Crane,0.6108,0.00,3.00
rec_d1_00_03_01.750000.wav,success,0,Ensemble Voting,Corvus corone_Carrion Crow,0.0803,0.00,3.00
rec_d1_00_03_07.500000.wav,success,0,Ensemble Voting,Columba livia_Rock Pigeon,0.8544,0.00,3.00
rec_d1_00_03_07.500000.wav,success,0,Ensemble Voting,Common Wood Pigeon,0.4909,0.00,3.00
rec_d1_00_03_07.500000.wav,success,0,Ensemble Voting,Eurasian Collared Dove,0.3512,0.00,3.00
rec_d1_00_03_10.250000.wav,success,0,Ensemble Voting,Common Wood Pigeon,0.6975,0.00,3.00
rec_d1_00_03_10.250000.wav,success,0,Ensemble Voting,Columba livia_Rock Pigeon,0.2036,0.00,3.00
rec_d1_00_03_10.250000.wav,success,0,Ensemble Voting,Pica pica_Eurasian Magpie,0.1232,0.00,3.00
rec_d1_00_03_16.wav,success,0,Ensemble Voting,Eurasian Collared Dove,0.4482,0.00,3.00
rec_d1_00_03_16.wav,success,0,Ensemble Voting,Common Wood Pigeon,0.3042,0.00,3.00
rec_d1_00_03_16.wav,success,0,Ensemble Voting,Corvus corone_Carrion Crow,0.1863,0.00,3.00
rec_d1_00_03_48.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.8874,0.00,3.00
rec_d1_00_04_49.250000.wav,success,0,Ensemble Voting,Eurasian Collared Dove,0.6370,0.00,3.00
rec_d1_00_04_49.250000.wav,success,0,Ensemble Voting,Turdus merula_Common Blackbird,0.1813,0.00,3.00
rec_d1_00_04_49.250000.wav,success,0,Ensemble Voting,Pica pica_Eurasian Magpie,0.1068,0.00,3.00
rec_d1_00_05_32.250000.wav,success,0,Ensemble Voting,Gallinula chloropus_Eurasian Moorhen,0.5169,0.00,3.00
rec_d1_00_05_32.250000.wav,success,0,Ensemble Voting,Burhinus capensis_Spotted Thick-knee,0.9330,0.00,3.00
rec_d1_00_05_32.250000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.2293,0.00,3.00
rec_d1_00_05_38.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.4368,0.00,3.00
rec_d1_00_05_38.wav,success,0,Ensemble Voting,Fulica atra_Eurasian Coot,0.1800,0.00,3.00
rec_d1_00_05_38.wav,success,0,Ensemble Voting,Gallinula chloropus_Eurasian Moorhen,0.1334,0.00,3.00
rec_d1_00_06_25.250000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9914,0.00,3.00
rec_d1_00_06_28.500000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_06_31.250000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9135,0.00,3.00
rec_d1_00_06_31.250000.wav,success,0,Ensemble Voting,Ciconia ciconia_White Stork,0.4687,0.00,3.00
rec_d1_00_06_39.750000.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_06_48.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_06_52.wav,success,0,Ensemble Voting,Branta canadensis_Canada Goose,0.9997,0.00,3.00
rec_d1_00_06_52.wav,success,0,Ensemble Voting,Gallinula chloropus_Eurasian Moorhen,0.0622,0.00,3.00
